Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
border rejection;salmonella, spoilage, unfit for human consumption;pathogen > pathogenic bacteria > salmonella, spoilage, poor or insufficient controls > unfit for human consumption;india;21-6-2018
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;20-6-2018
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;13-6-2018
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;thailand;7-6-2018
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;india;5-6-2018
alert;eggs and products thereof;eggs and products thereof;canada;30-5-2018
food;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;ecuador;24-5-2018
food;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;indonesia;22-5-2018
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;india;21-5-2018
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;china;21-5-2018
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;china;21-5-2018
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;canada;18-5-2018
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;18-5-2018
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;china;17-5-2018
border rejection;composition;composition;vietnam;11-5-2018
food;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);thailand;4-5-2018
alert;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;united states;3-5-2018
alert;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;united states;3-5-2018
alert;poor temperature control, spoilage, pathogen;poor or insufficient controls > improper conditions > poor temperature control, spoilage, pathogen;united states;3-5-2018
alert;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;united states;3-5-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-4-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;mexico;25-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-4-2018
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;20-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;19-4-2018
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;19-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;16-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;16-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;16-4-2018
alert;eggs and products thereof;eggs and products thereof;canada;13-4-2018
border rejection;salmonella, spoilage, unfit for human consumption;pathogen > pathogenic bacteria > salmonella, spoilage, poor or insufficient controls > unfit for human consumption;india;13-4-2018
border rejection;composition;composition;india;10-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;mexico;4-4-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;mexico;4-4-2018
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;china;28-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;23-3-2018
border rejection;coliforms;non-pathogenic microorganisms > coliforms;thailand;9-3-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;9-3-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;9-3-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;8-3-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;8-3-2018
alert;unclassified bacteria;other not classified biological hazards > unclassified bacteria;canada;1-3-2018
border rejection;spoilage;spoilage;india;28-2-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;28-2-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;23-2-2018
border rejection;salmonella, spoilage, unfit for human consumption, foreign bodies;pathogen > pathogenic bacteria > salmonella, spoilage, poor or insufficient controls > unfit for human consumption;bangladesh;22-2-2018
alert;eggs and products thereof;eggs and products thereof;united states;21-2-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;20-2-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;13-2-2018
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;29-1-2018
food;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;china;29-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;26-1-2018
border rejection;spoilage, unfit for human consumption;spoilage, poor or insufficient controls > unfit for human consumption;india;23-1-2018
alert;abnormal smell, taste disturbance;abnormal smell, taste disturbance;india;19-1-2018
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;12-1-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;4-1-2018
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;3-1-2018
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;27-12-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;20-12-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;20-12-2017
food;abnormal smell;abnormal smell;india;19-12-2017
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;19-12-2017
border rejection;coliforms;non-pathogenic microorganisms > coliforms;thailand;19-12-2017
alert;eggs and products thereof;eggs and products thereof;canada;19-12-2017
border rejection;spoilage, unfit for human consumption;spoilage, poor or insufficient controls > unfit for human consumption;india;15-12-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;14-12-2017
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;indonesia;11-12-2017
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;peru;28-11-2017
border rejection;coliforms;non-pathogenic microorganisms > coliforms;malaysia;27-11-2017
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;vietnam;27-11-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;21-11-2017
food;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;ecuador;20-11-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;15-11-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;15-11-2017
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;14-11-2017
border rejection;poor hygienic state, incorrect labeling;poor or insufficient controls > poor hygienic state, labelling/misdescription > incorrect labeling;vietnam;13-11-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;1-11-2017
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;30-10-2017
alert;eggs and products thereof;eggs and products thereof;vietnam;27-10-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-10-2017
border rejection;coliforms, composition;non-pathogenic microorganisms > coliforms, composition;thailand;24-10-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;20-10-2017
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;venezuela;18-10-2017
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;venezuela;18-10-2017
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;16-10-2017
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;vietnam;16-10-2017
food;vibrio cholerae;pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae;vietnam;13-10-2017
border rejection;non compliance with haccp;poor or insufficient controls > non compliance with haccp;vietnam;12-10-2017
food;too high content of sulphite, sulphur dioxide and sulphites;sulphur dioxide and sulphites > too high content of sulphite, sulphur dioxide and sulphites;turkey;10-10-2017
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;myanmar;26-9-2017
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;vietnam;26-9-2017
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;26-9-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;25-9-2017
border rejection;spoilage, salmonella;spoilage, pathogen > pathogenic bacteria > salmonella;indonesia;21-9-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;19-9-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;18-9-2017
border rejection;spoilage;spoilage;indonesia;11-9-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;7-9-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;7-9-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;31-8-2017
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;indonesia;30-8-2017
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;thailand;29-8-2017
border rejection;spoilage, salmonella;spoilage, pathogen > pathogenic bacteria > salmonella;india;24-8-2017
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;venezuela;9-8-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;8-8-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;3-8-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;31-7-2017
border rejection;vibrio cholerae;pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae;malaysia;21-7-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;19-7-2017
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;vietnam;18-7-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;10-7-2017
food;salmonella;pathogen > pathogenic bacteria > salmonella;india;7-7-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;brunei;3-7-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;3-7-2017
food;prohibited substance nitrofuran (metabolite);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite);india;30-6-2017
food;prohibited substance chloramphenicol;residues of veterinary medicinal products > prohibited substance chloramphenicol;vietnam;27-6-2017
food;altered organoleptic characteristics, poor temperature control - rupture of the cold chain;altered organoleptic characteristics, poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;india;14-6-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;6-6-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;31-5-2017
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;indonesia;23-5-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;china;16-5-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;thailand;11-5-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;3-5-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;24-4-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;24-4-2017
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;venezuela;20-4-2017
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;thailand;18-4-2017
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;indonesia;18-4-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;china;18-4-2017
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;indonesia;18-4-2017
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;ecuador;13-4-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;12-4-2017
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;vietnam;7-4-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;6-4-2017
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;venezuela;6-4-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;6-4-2017
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;venezuela;5-4-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;5-4-2017
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;india;1-4-2017
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;indonesia;31-3-2017
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;china;30-3-2017
food;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;brunei;28-3-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;24-3-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;24-3-2017
border rejection;spoilage;spoilage;bangladesh;21-3-2017
border rejection;spoilage;spoilage;bangladesh;21-3-2017
border rejection;spoilage;spoilage;bangladesh;21-3-2017
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;indonesia;20-3-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;17-3-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-3-2017
food;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;indonesia;15-3-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-3-2017
alert;salmonella enterica;pathogen > pathogenic bacteria > salmonella > salmonella enterica;china;8-3-2017
border rejection;prohibited substance chloramphenicol, antibiotics, vet drugs;residues of veterinary medicinal products > prohibited substance chloramphenicol, residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;2-3-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;bangladesh;1-3-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;21-2-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;21-2-2017
border rejection;spoilage;spoilage;india;17-2-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;china;1-2-2017
border rejection;spoilage;spoilage;india;27-1-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;26-1-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;26-1-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;26-1-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;25-1-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;thailand;25-1-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;17-1-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;10-1-2017
food;prohibited substance nitrofuran (metabolite) nitrofurazone (sem);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) nitrofurazone (sem);bangladesh;10-1-2017
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;ecuador;9-1-2017
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;china;5-1-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;5-1-2017
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;thailand;4-1-2017
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;thailand;4-1-2017
food;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;3-1-2017
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;29-12-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;27-12-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;ecuador;23-12-2016
border rejection;prohibited substance chloramphenicol, salmonella;residues of veterinary medicinal products > prohibited substance chloramphenicol, pathogen > pathogenic bacteria > salmonella;vietnam;16-12-2016
food;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;16-12-2016
food;vibrio cholerae, vibrio parahaemolyticus, vibrio alginolyticus;pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae, pathogen > pathogenic bacteria > vibrio spp > vibrio parahaemolyticus, pathogen > pathogenic bacteria > vibrio spp > vibrio alginolyticus;india;14-12-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;14-12-2016
food;prohibited substance chloramphenicol;residues of veterinary medicinal products > prohibited substance chloramphenicol;india;13-12-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;8-12-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;8-12-2016
border rejection;spoilage;spoilage;india;6-12-2016
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;india;6-12-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;5-12-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;5-12-2016
border rejection;spoilage;spoilage;india;22-11-2016
food;sulphur dioxide and sulphites;sulphur dioxide and sulphites;india;21-11-2016
food;vibrio cholerae;pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae;india;10-11-2016
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;panama;2-11-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;28-10-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;indonesia;27-10-2016
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;panama;18-10-2016
food;vibrio parahaemolyticus, vibrio cholerae, salmonella oranienburg;pathogen > pathogenic bacteria > vibrio spp > vibrio parahaemolyticus, pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae, pathogen > pathogenic bacteria > salmonella > salmonella oranienburg;vietnam;18-10-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;17-10-2016
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;panama;7-10-2016
food;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;panama;5-10-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;27-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;27-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;27-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;27-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;27-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;27-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;bangladesh;20-9-2016
- major food product recall;salmonella;pathogen > pathogenic bacteria > salmonella;united states;19-9-2016
food;improper health certificate(s);smuggling > health certificate issues > improper health certificate(s);bangladesh;15-9-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;14-9-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;13-9-2016
border rejection;spoilage, unfit for human consumption, salmonella;spoilage, poor or insufficient controls > unfit for human consumption, pathogen > pathogenic bacteria > salmonella;bangladesh;12-9-2016
food;vibrio cholerae;pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae;vietnam;6-9-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;31-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;31-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;31-8-2016
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;bangladesh;30-8-2016
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;bangladesh;30-8-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;29-8-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;18-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;17-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;17-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;17-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;17-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;17-8-2016
border rejection;salmonella, spoilage;pathogen > pathogenic bacteria > salmonella, spoilage;bangladesh;16-8-2016
border rejection;salmonella, antibiotics, vet drugs;pathogen > pathogenic bacteria > salmonella, residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-8-2016
border rejection;salmonella, antibiotics, vet drugs;pathogen > pathogenic bacteria > salmonella, residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-8-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;12-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;11-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;10-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;10-8-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;10-8-2016
border rejection;prohibited substance chloramphenicol, salmonella;residues of veterinary medicinal products > prohibited substance chloramphenicol, pathogen > pathogenic bacteria > salmonella;vietnam;8-8-2016
border rejection;spoilage;spoilage;indonesia;5-8-2016
alert;soybeans and products thereof, eggs and products thereof, crustaceans and products thereof;soybeans and products thereof, eggs and products thereof, crustaceans and products thereof;united states;2-8-2016
border rejection;sulfamethoxazole;residues of veterinary medicinal products > antibiotics, vet drugs > sulfamethoxazole;vietnam;1-8-2016
border rejection;prohibited substance chloramphenicol;residues of veterinary medicinal products > prohibited substance chloramphenicol;vietnam;1-8-2016
border rejection;prohibited substance chloramphenicol, salmonella;residues of veterinary medicinal products > prohibited substance chloramphenicol, pathogen > pathogenic bacteria > salmonella;vietnam;1-8-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;1-8-2016
food;residue level above mrl for oxytetracycline;residues of veterinary medicinal products > residue level above mrl for oxytetracycline;vietnam;26-7-2016
food;vibrio cholerae;pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae;vietnam;22-7-2016
border rejection;spoilage;spoilage;thailand;21-7-2016
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;thailand;21-7-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;21-7-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;21-7-2016
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;21-7-2016
